name,address,phone,website,rating,reviews
Hilton New York Times Square,"234 W 42nd St, New York, NY 10036, USA",(212) 913-9488,https://www.hilton.com/en/hotels/nyctshh-hilton-times-square/?SEO_id=GMB-AMER-HH-NYCTSHH&y_source=1_NTYyMTIyNTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.1,4928
414 Hotel New York Times Square,"414 W 46th St, New York, NY 10036, USA",(332) 239-6649,https://414hotel.com/,4.1,416
The Allen Hotel,"88 Allen St, New York, NY 10002, USA",(212) 965-8898,https://www.theallenhotel.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,4,501
Fairfield by Marriott Inn & Suites New York Manhattan/Downtown East,"95 Henry St, New York, NY 10002, USA",(212) 227-0709,https://www.marriott.com/en-us/hotels/nycfm-fairfield-inn-and-suites-new-york-manhattan-downtown-east/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,4.1,1163
Sanctuary Hotel New York,"132 W 47th St, New York, NY 10036, USA",(212) 234-7000,http://www.sanctuaryhotelnyc.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,4.2,1470
DoubleTree by Hilton New York Times Square South,"525 8th Ave, New York, NY 10018, USA",(212) 255-9000,https://www.hilton.com/en/hotels/nycsodt-doubletree-new-york-times-square-south/?SEO_id=GMB-AMER-DT-NYCSODT&y_source=1_MjY4OTY3OTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4,1289
Hyatt Grand Central New York,"at Grand Central Terminal, 109 E 42nd St, New York, NY 10017, USA",(212) 883-1234,https://www.hyatt.com/en-US/hotel/new-york/hyatt-grand-central-new-york/nycgh?src=corp_lclb_google_seo_nycgh&utm_source=google&utm_medium=organic&utm_campaign=lmr,4,8472
Moderne Hotel NYC,"243 W 55th St, New York, NY 10019, USA",(212) 397-6767,https://www.modernehotelnyc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,4.1,455
Highbridge Hotel,"1263 Edward L Grant Hwy, Bronx, NY 10452, USA",(347) 508-4550,http://www.highbridgehotel.com/,4.5,414
Holiday Inn New York City - Times Square by IHG,"585 8th Ave, New York, NY 10018, USA",(212) 473-6200,https://www.ihg.com/holidayinn/hotels/us/en/new-york/nycma/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-US-_-NYCMA,4.1,3737
The Manhattan Club,"200 W 56th St, New York, NY 10019, USA",(888) 692-2121,https://manhattanclub.com/,4.3,2882
Hilton Garden Inn New York Times Square South,"326 W 37th St, New York, NY 10018, USA",(212) 868-6700,https://www.hilton.com/en/hotels/nycthgi-hilton-garden-inn-new-york-times-square-south/?SEO_id=GMB-AMER-GI-NYCTHGI&y_source=1_ODMxOTk4MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.2,1924
New York Hilton Midtown,"1335 6th Ave, New York, NY 10019, USA",(212) 586-7000,https://www.hilton.com/en/hotels/nycnhhh-new-york-hilton-midtown/?SEO_id=GMB-AMER-HH-NYCNHHH&y_source=1_NzIxNzU0LTcxNS1sb2NhdGlvbi53ZWJzaXRl,4.1,11656
TownePlace Suites by Marriott New York Manhattan/Times Square,"324 W 44th St, New York, NY 10036, USA",(212) 265-4000,https://www.marriott.com/en-us/hotels/nycts-towneplace-suites-new-york-manhattan-times-square/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,4.1,782
Fairfield by Marriott Inn & Suites New York Manhattan/Central Park,"538 W 58th St, New York, NY 10019, USA",(212) 757-8550,https://www.marriott.com/en-us/hotels/nycft-fairfield-inn-and-suites-new-york-manhattan-central-park/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,4.1,1805
New York Marriott Marquis,"1535 Broadway, New York, NY 10036, USA",(212) 398-1900,https://www.marriott.com/en-us/hotels/nycmq-new-york-marriott-marquis/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,4.4,15883
Ameritania Hotel at Times Square,"230 W 54th St, New York, NY 10019, USA",(212) 247-5000,https://www.ameritanianyc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,4.1,2446
Hotel Riu Plaza New York Times Square,"305 W 46th St, New York, NY 10036, USA",(646) 864-1100,https://www.riu.com/en/hotel/united-states/new-york/hotel-riu-plaza-new-york-times-square?utm_source=google&utm_medium=organic&utm_campaign=my_business&utm_content=ZNY,4.5,10911
The Leon Hotel,"125 Canal St, New York, NY 10002, USA",(212) 390-8833,https://leonhotelnyc.com/,4.1,587
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,"6 Water St, New York, NY 10004, USA",(212) 248-1100,https://www.hilton.com/en/hotels/nycfcgi-hilton-garden-inn-nyc-financial-center-manhattan-downtown/?SEO_id=GMB-AMER-GI-NYCFCGI&y_source=1_ODIxOTgzNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.3,1967
Hotel Henri NY,"37 W 24th St, New York, NY 10010, USA",(212) 243-0800,http://www.hotelhenriny.com/,4.2,602
Hilton Garden Inn New York/Manhattan-Midtown East,"206 E 52nd St, New York, NY 10022, USA",(212) 794-6000,https://www.hilton.com/en/hotels/nycmegi-hilton-garden-inn-new-york-manhattan-midtown-east/?SEO_id=GMB-AMER-GI-NYCMEGI&y_source=1_MjA4Mjk5MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4,1656
Moxy NYC Times Square,"485 7th Ave, New York, NY 10018, USA",(212) 967-6699,https://www.marriott.com/en-us/hotels/nycox-moxy-nyc-times-square/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,4.1,6305
Pod Times Square,"400 W 42nd St, New York, NY 10036, USA",(844) 763-7666,https://www.thepodhotel.com/pod-times-square?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,4.1,3045
Hotel Riu Plaza Manhattan Times Square,"145 W 47th St, New York, NY 10036, USA",(212) 706-3170,https://www.riu.com/en/hotel/united-states/new-york/hotel-riu-plaza-manhattan-times-square?utm_source=google&utm_medium=organic&utm_campaign=my_business&utm_content=ZMH,4.7,8098
Fairfield by Marriott Inn & Suites North Bergen,"1707 69th St, North Bergen, NJ 07047, USA",(201) 272-6600,https://www.marriott.com/en-us/hotels/ewrnb-fairfield-inn-and-suites-north-bergen/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,4.4,1065
John Hotel,"133-12 37th Ave, Flushing, NY 11354, USA",(718) 886-8556,http://www.johnhotel.com/,4,1032
The Flat NYC - Hotel & Event Space New York,"25 W 24th St, New York, NY 10010, USA",(929) 490-6715,https://www.theflatnyc.com/,4.2,297
